                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.4048,                 4.4701,                 1.9815,                0.06993,                      1,                  0.995,                 0.2755,                 2.6444,                 3.6757,                 1.6955,                      0,                      0,                      0
                      1,                 4.1515,                 4.4976,                  2.436,                0.09174,                      1,                  0.995,                  0.304,                 2.5883,                  3.494,                  1.653,             1.2191e-05,             1.2191e-05,             1.2191e-05
                      2,                 3.6469,                 4.4871,                  2.183,                0.16667,                      1,                  0.995,                0.34644,                 2.4518,                 3.1814,                 1.5477,             2.3762e-05,             2.3762e-05,             2.3762e-05
                      3,                  3.495,                 3.6046,                 1.8587,                0.34483,                      1,                  0.995,                0.41488,                 2.2043,                 2.7641,                 1.3784,             3.4716e-05,             3.4716e-05,             3.4716e-05
                      4,                 3.4158,                 3.1769,                 1.5088,                      1,                0.87009,                  0.995,                0.52711,                 1.8577,                 2.4646,                 1.1965,              4.505e-05,              4.505e-05,              4.505e-05
                      5,                 2.8682,                   2.18,                 1.3629,                      1,                0.99794,                  0.995,                0.67391,                 1.4516,                  2.078,                 1.0521,             5.4766e-05,             5.4766e-05,             5.4766e-05
                      6,                 2.0769,                 1.4877,                 1.1674,                0.99444,                      1,                  0.995,                0.72526,                 1.0732,                 1.5198,                0.94769,             6.3863e-05,             6.3863e-05,             6.3863e-05
                      7,                  1.592,                 1.3855,                 1.0683,                0.99539,                      1,                  0.995,                0.69687,                0.91855,                 1.2874,                0.89734,             7.2341e-05,             7.2341e-05,             7.2341e-05
                      8,                 1.2442,                 1.6093,                  1.037,                0.99508,                      1,                  0.995,                0.56593,                 1.0769,                 1.3173,                0.91422,               8.02e-05,               8.02e-05,               8.02e-05
                      9,                 1.1474,                  1.364,                0.92017,                0.99543,                      1,                  0.995,                0.42299,                 1.3227,                  1.527,                0.96216,             8.7441e-05,             8.7441e-05,             8.7441e-05
                     10,                 1.3097,                 1.2506,                0.91118,                0.99702,                      1,                  0.995,                0.44745,                 1.4422,                 1.6978,                0.99425,             9.4063e-05,             9.4063e-05,             9.4063e-05
                     11,                 1.0899,                0.87726,                 0.8579,                0.99823,                      1,                  0.995,                0.57232,                 1.4267,                 1.7893,                0.99925,             0.00010007,             0.00010007,             0.00010007
                     12,                 1.0269,                0.86526,                0.90042,                0.99839,                      1,                  0.995,                0.65829,                 1.3612,                 1.9011,                0.98836,             0.00010545,             0.00010545,             0.00010545
                     13,                 1.2766,                 1.1639,                 1.0081,                0.99531,                      1,                  0.995,                0.64928,                 1.2931,                 1.8333,                0.97315,             0.00011022,             0.00011022,             0.00011022
                     14,                0.93304,                0.77108,                0.85289,                0.99406,                      1,                  0.995,                0.64852,                 1.2378,                 1.8244,                0.95906,             0.00011436,             0.00011436,             0.00011436
                     15,                0.80418,                 0.8087,                0.90471,                0.99296,                      1,                  0.995,                0.65044,                 1.2216,                 1.8396,                0.95841,             0.00011789,             0.00011789,             0.00011789
                     16,                0.70879,                0.69461,                0.90088,                0.98979,                      1,                  0.995,                0.65591,                 1.2239,                 1.8795,                  0.964,              0.0001208,              0.0001208,              0.0001208
                     17,                0.87499,                0.63769,                0.86902,                0.98979,                      1,                  0.995,                0.65591,                 1.2239,                 1.8795,                  0.964,             0.00012309,             0.00012309,             0.00012309
                     18,                0.88837,                0.67037,                0.91677,                0.98762,                      1,                  0.995,                0.64656,                 1.2869,                 1.7855,                0.98354,             0.00012476,             0.00012476,             0.00012476
                     19,                0.64325,                0.80741,                0.83146,                0.98762,                      1,                  0.995,                0.64656,                 1.2869,                 1.7855,                0.98354,             0.00012582,             0.00012582,             0.00012582
                     20,                0.69013,                0.69218,                0.85352,                0.99263,                      1,                  0.995,                0.63199,                 1.3691,                  1.467,                 1.0092,             0.00012625,             0.00012625,             0.00012625
                     21,                0.75271,                0.68524,                0.72629,                0.99263,                      1,                  0.995,                0.63199,                 1.3691,                  1.467,                 1.0092,             0.00012607,             0.00012607,             0.00012607
                     22,                0.87554,                0.75329,                0.98278,                0.99483,                      1,                  0.995,                0.61867,                 1.4129,                 1.1423,                 1.0337,             0.00012526,             0.00012526,             0.00012526
                     23,                 0.9163,                0.63538,                0.93076,                0.99483,                      1,                  0.995,                0.61867,                 1.4129,                 1.1423,                 1.0337,             0.00012384,             0.00012384,             0.00012384
                     24,                 1.0568,                0.64523,                0.93258,                0.99514,                      1,                  0.995,                0.62948,                 1.3614,                0.99849,                 1.0284,              0.0001218,              0.0001218,              0.0001218
                     25,                0.84788,                0.71592,                0.89343,                0.99514,                      1,                  0.995,                0.62948,                 1.3614,                0.99849,                 1.0284,             0.00011914,             0.00011914,             0.00011914
                     26,                0.75552,                0.60763,                0.92942,                0.99507,                      1,                  0.995,                0.65185,                 1.2696,                0.98604,                  1.005,             0.00011586,             0.00011586,             0.00011586
                     27,                0.77241,                0.61255,                0.89343,                0.99507,                      1,                  0.995,                0.65185,                 1.2696,                0.98604,                  1.005,             0.00011197,             0.00011197,             0.00011197
                     28,                0.81701,                0.60597,                0.88465,                0.99506,                      1,                  0.995,                0.71268,                 1.1397,                0.93747,                0.96522,             0.00010745,             0.00010745,             0.00010745
                     29,                0.79426,                 0.5492,                0.91055,                0.99506,                      1,                  0.995,                0.71268,                 1.1397,                0.93747,                0.96522,             0.00010232,             0.00010232,             0.00010232
                     30,                0.80276,                0.61846,                0.90334,                0.99459,                      1,                  0.995,                0.75005,                  1.004,                0.87994,                0.91778,             9.6562e-05,             9.6562e-05,             9.6562e-05
                     31,                0.64749,                 0.5407,                0.80778,                0.99459,                      1,                  0.995,                0.75005,                  1.004,                0.87994,                0.91778,             9.0191e-05,             9.0191e-05,             9.0191e-05
                     32,                0.67192,                0.61447,                 0.8423,                0.99384,                      1,                  0.995,                0.77028,                0.91845,                0.87694,                0.88505,               8.32e-05,               8.32e-05,               8.32e-05
                     33,                0.82841,                0.61235,                0.84708,                0.99384,                      1,                  0.995,                0.77028,                0.91845,                0.87694,                0.88505,             7.5591e-05,             7.5591e-05,             7.5591e-05
                     34,                0.70667,                0.57759,                0.86859,                0.99333,                      1,                  0.995,                0.78673,                0.86718,                0.87703,                0.86762,             6.7363e-05,             6.7363e-05,             6.7363e-05
                     35,                0.64028,                0.63167,                0.82914,                0.99333,                      1,                  0.995,                0.78673,                0.86718,                0.87703,                0.86762,             5.8516e-05,             5.8516e-05,             5.8516e-05
                     36,                0.76711,                0.70703,                0.92423,                0.99362,                      1,                  0.995,                0.82532,                0.84186,                0.84294,                0.86003,              4.905e-05,              4.905e-05,              4.905e-05
                     37,                0.82221,                0.66076,                0.90175,                0.99362,                      1,                  0.995,                0.82532,                0.84186,                0.84294,                0.86003,             3.8966e-05,             3.8966e-05,             3.8966e-05
                     38,                0.82619,                0.59188,                0.80505,                0.99389,                      1,                  0.995,                0.82541,                0.83232,                0.81327,                0.85811,             2.8263e-05,             2.8263e-05,             2.8263e-05
                     39,                0.86764,                0.59562,                0.79101,                0.99389,                      1,                  0.995,                0.82541,                0.83232,                0.81327,                0.85811,             1.6941e-05,             1.6941e-05,             1.6941e-05
